seed,stem,z_m,m_chi_GeV,SIC_T_raw,SICm_T_raw,epsB_T_raw,AUC_T_raw,SIC_T_I,SICm_T_I,epsB_T_I,AUC_T_I,SIC_T_S,SICm_T_S,epsB_T_S,AUC_T_S,SIC_Typ_I,SICm_Typ_I,epsB_Typ_I,AUC_Typ_I,SIC_Typ_II,SICm_Typ_II,epsB_Typ_II,AUC_Typ_II,SIC_Typ_tot,SICm_Typ_tot,epsB_Typ_tot,AUC_Typ_tot,SIC_V_I,SICm_V_I,epsB_V_I,AUC_V_I,SIC_V_II,SICm_V_II,epsB_V_II,AUC_V_II,SIC_M,SICm_M,epsB_M,AUC_M
002,eval_signal_neg_8_5GeV,1.16000,5.00000,21.83446,21.60531,0.00073,0.99748,6.84728,6.84728,0.00100,0.56093,18.74552,16.41696,0.00077,0.99716,6.77186,7.45191,0.00123,0.54926,17.67060,15.54992,0.00080,0.96304,19.02022,16.29016,0.00073,0.97083,0.00000,0.00000,0.00080,0.54073,8.70364,7.93359,0.00137,0.99074,6.77186,7.45191,0.00123,0.54926
002,eval_signal_zero_5GeV,1.24000,5.00000,19.22000,18.95701,0.00073,0.99678,23.10740,23.10771,0.00100,0.85263,13.66042,12.08781,0.00077,0.99563,21.35036,23.65320,0.00123,0.85439,13.34876,11.76868,0.00080,0.94823,20.38321,17.52598,0.00073,0.97991,0.00318,0.00311,0.00080,0.24774,7.22210,6.40388,0.00137,0.98916,21.35036,23.65320,0.00123,0.85439
002,eval_signal_neg_91_0.5GeV,0.33000,0.50000,0.55280,0.73785,0.00073,0.73936,0.00474,0.00474,0.00100,0.59498,0.45325,0.39718,0.00077,0.73001,0.00484,0.00506,0.00123,0.56937,6.11612,5.38178,0.00080,0.86647,6.42501,5.50236,0.00073,0.88158,0.03748,0.03298,0.00080,0.57894,0.42766,0.38059,0.00137,0.65121,0.00484,0.00506,0.00123,0.56937
002,eval_signal_neg_58_0.5GeV,0.66000,0.50000,0.05170,0.08227,0.00073,0.57383,0.00285,0.00285,0.00100,0.59631,0.04226,0.03700,0.00077,0.56225,0.00370,0.00285,0.00123,0.57034,2.53675,2.23204,0.00080,0.76729,2.62591,2.24870,0.00073,0.79795,0.03005,0.02644,0.00080,0.58080,0.06357,0.05358,0.00137,0.49581,0.00370,0.00285,0.00123,0.57034
002,eval_signal_neg_24_0.5GeV,1.00000,0.50000,0.00886,0.00981,0.00073,0.36621,0.00348,0.00348,0.00100,0.59494,0.00831,0.00727,0.00077,0.35548,0.00399,0.00348,0.00123,0.56932,0.03642,0.03204,0.00080,0.56738,0.03545,0.03067,0.00073,0.62771,0.03111,0.02738,0.00080,0.57841,0.00595,0.00490,0.00137,0.34187,0.00399,0.00348,0.00123,0.56932
002,eval_signal_neg_20_0.5GeV,1.04000,0.50000,0.05871,0.09353,0.00073,0.87591,0.00095,0.00095,0.00100,0.32031,0.05526,0.04902,0.00077,0.87317,0.00085,0.00095,0.00123,0.34536,0.04525,0.03982,0.00080,0.59504,0.03287,0.02846,0.00073,0.56104,0.00000,0.00000,0.00080,0.15717,0.07493,0.06154,0.00137,0.87192,0.00085,0.00095,0.00123,0.34536
002,eval_signal_neg_16_0.5GeV,1.08000,0.50000,1.14844,2.06951,0.00073,0.98644,0.05850,0.05850,0.00100,0.36508,0.95779,0.83895,0.00077,0.98576,0.06435,0.07020,0.00123,0.38583,0.07283,0.06408,0.00080,0.57795,0.05798,0.04965,0.00073,0.56867,0.00000,0.00000,0.00080,0.32084,2.03390,1.54716,0.00137,0.98475,0.06435,0.07020,0.00123,0.38583
002,eval_signal_neg_8_0.5GeV,1.16000,0.50000,1.44460,2.62954,0.00073,0.98477,7.01678,7.01678,0.00100,0.56560,0.74940,0.65649,0.00077,0.98262,6.92506,7.61888,0.00123,0.55463,0.11703,0.10359,0.00080,0.47062,0.30650,0.26373,0.00073,0.54681,0.00000,0.00031,0.00080,0.53371,2.19376,1.65984,0.00137,0.98293,6.92506,7.61888,0.00123,0.55463
002,eval_signal_zero_0.5GeV,1.24000,0.50000,1.08124,2.16073,0.00073,0.98491,23.23167,23.23357,0.00100,0.85483,0.42689,0.37916,0.00077,0.98004,21.44660,23.75187,0.00123,0.85655,0.35744,0.31980,0.00080,0.52246,1.33123,1.17795,0.00073,0.74270,0.00601,0.00529,0.00080,0.24718,0.93242,0.67085,0.00137,0.97955,21.44660,23.75187,0.00123,0.85655
002,eval_signal_neg_91_0.05GeV,0.33000,0.05000,0.00702,0.00606,0.00073,0.36038,0.00379,0.00379,0.00100,0.59335,0.00650,0.00569,0.00077,0.34977,0.00427,0.00379,0.00123,0.56830,0.03076,0.02706,0.00080,0.53694,0.03102,0.02656,0.00073,0.60083,0.03924,0.03453,0.00080,0.57524,0.00325,0.00306,0.00137,0.34093,0.00427,0.00379,0.00123,0.56830
